Wavelength/nm,(NEA)2PbI4,Curve1
407.188,0.36146,
407.61,0.35584,
408.455,0.35023,
408.877,0.34574,
409.721,0.34013,
410.565,0.33452,
411.409,0.33003,
412.675,0.32554,
413.94,0.32105,
415.626,0.31769,
417.312,0.31432,
419.419,0.31321,
421.105,0.31096,
423.212,0.30984,
425.319,0.30873,
427.426,0.30873,
429.533,0.30761,
431.219,0.30649,
433.325,0.30649,
435.432,0.3065,
437.539,0.3065,
439.645,0.30651,
441.331,0.30651,
443.437,0.30651,
445.123,0.30539,
447.23,0.3054,
449.337,0.3054,
451.443,0.3054,
453.55,0.30541,
455.657,0.30541,
457.763,0.30542,
459.87,0.30542,
461.977,0.30542,
463.662,0.30543,
465.769,0.30543,
467.875,0.30656,
469.982,0.30656,
472.089,0.30656,
474.195,0.30657,
476.302,0.30657,
478.409,0.30657,
480.515,0.30658,
482.622,0.30658,
484.729,0.30659,
486.414,0.30771,
488.521,0.30771,
490.627,0.30772,
492.312,0.30884,
494.419,0.30885,
496.526,0.30885,
498.632,0.30886,
500.739,0.30998,
502.846,0.30999,
504.952,0.30999,
507.059,0.30999,
509.165,0.31112,
511.272,0.31112,
513.379,0.31113,
515.485,0.31113,
517.592,0.31226,
519.699,0.31226,
521.805,0.31339,
523.912,0.31339,
525.597,0.31339,
527.703,0.31452,
529.81,0.31452,
531.917,0.31453,
534.023,0.31565,
535.709,0.31566,
537.815,0.31678,
539.922,0.31679,
542.028,0.31679,
544.135,0.31679,
545.821,0.3168,
547.927,0.31792,
550.034,0.31793,
552.14,0.31793,
553.826,0.31793,
555.932,0.31794,
558.039,0.31794,
560.146,0.31795,
562.252,0.31907,
564.359,0.31908,
,,
#,x,Curve8
330.44,0.19374,
331.501,0.19445,
332.163,0.20046,
332.825,0.20718,
333.353,0.2185,
333.61,0.24891,
333.74,0.25775,
333.746,0.2383,
333.748,0.22805,
333.87,0.26871,
334.532,0.27508,
335.327,0.28003,
336.124,0.27862,
337.32,0.27084,
338.385,0.26059,
338.918,0.2521,
339.584,0.24291,
340.249,0.2369,
341.18,0.22806,
342.111,0.21993,
343.44,0.21321,
345.831,0.20615,
347.823,0.20084,
352.469,0.19767,
355.389,0.19626,
360.698,0.1938,
364.68,0.19451,
367.865,0.19345,
370.652,0.19523,
374.5,0.19453,
379.411,0.19454,
383.79,0.19525,
386.71,0.19632,
389.894,0.19844,
392.947,0.1981,
395.999,0.19952,
398.255,0.19917,
401.042,0.19846,
403.962,0.19847,
407.014,0.20024,
410.332,0.19954,
414.446,0.20096,
419.091,0.20026,
422.939,0.20062,
426.655,0.2024,
431.964,0.20064,
436.343,0.20135,
439.661,0.20171,
442.448,0.20278,
446.828,0.20208,
450.543,0.20279,
453.994,0.2028,
458.905,0.20175,
463.417,0.20282,
466.204,0.20318,
469.521,0.20318,
471.645,0.20319,
476.29,0.2039,
482.792,0.20497,
488.366,0.20534,
492.082,0.2057,
497.656,0.20641,
499.647,0.20642,
501.106,0.20854,
503.761,0.20607,
506.68,0.20784,
510.529,0.20714,
512.652,0.20679,
515.838,0.20645,
517.829,0.20433,
519.288,0.20857,
521.411,0.20787,
524.066,0.20752,
526.587,0.20682,
528.579,0.20541,
532.692,0.20612,
535.214,0.20613,
538.532,0.20613,
539.859,0.20613,
542.514,0.20437,
543.974,0.20437,
545.965,0.2019,
548.22,0.20544,
551.672,0.20262,
553.397,0.20227,
556.582,0.20157,
559.237,0.20086,
560.298,0.20087,
562.024,0.20052,
563.085,0.20123,
,,
#,x,Curve9
330.86,0.10888,
332.453,0.10888,
333.912,0.11313,
334.706,0.11843,
336.165,0.12232,
337.491,0.12657,
338.419,0.13187,
339.214,0.13683,
339.61,0.14249,
339.874,0.14814,
340.669,0.15486,
341.198,0.16264,
341.462,0.16689,
341.858,0.17537,
342.52,0.18174,
342.784,0.18492,
343.049,0.18952,
343.446,0.1927,
344.243,0.19094,
344.775,0.18634,
345.174,0.18068,
345.574,0.17538,
345.84,0.17185,
346.241,0.16159,
346.908,0.15028,
347.573,0.14391,
348.769,0.13684,
349.966,0.12907,
350.896,0.12482,
351.826,0.122,
353.684,0.11953,
356.339,0.1167,
358.463,0.11564,
361.649,0.11353,
364.038,0.11212,
366.692,0.11212,
370.275,0.11248,
372.266,0.11249,
375.982,0.11285,
378.636,0.11285,
382.22,0.1125,
384.874,0.11216,
390.58,0.11464,
393.632,0.115,
397.614,0.11501,
400.003,0.11536,
402.524,0.11608,
405.045,0.11608,
407.169,0.1175,
410.486,0.11821,
412.742,0.11892,
416.724,0.11822,
421.103,0.11964,
424.819,0.12036,
428.004,0.12072,
431.852,0.12072,
435.037,0.12179,
438.753,0.1218,
442.469,0.1218,
445.92,0.12146,
448.972,0.12394,
452.555,0.12324,
455.608,0.1236,
459.987,0.12325,
463.172,0.12432,
465.295,0.12538,
469.144,0.1268,
472.594,0.12575,
475.514,0.12611,
478.699,0.12717,
481.486,0.12753,
485.334,0.13001,
488.917,0.13073,
491.969,0.13215,
495.021,0.13286,
497.941,0.13392,
500.064,0.1357,
503.381,0.13712,
506.832,0.13712,
511.211,0.13925,
514.263,0.14032,
517.846,0.14103,
521.96,0.14245,
525.808,0.14423,
528.861,0.14282,
531.382,0.14212,
533.903,0.14495,
536.823,0.14354,
538.416,0.14354,
541.203,0.14284,
546.246,0.14356,
549.431,0.14356,
551.687,0.14251,
553.811,0.1418,
555.802,0.1411,
559.12,0.13934,
562.173,0.13934,
563.5,0.13934,
,,
#,x,Curve10
330.885,0.01694,
331.548,0.01694,
332.477,0.018,
332.874,0.02154,
333.133,0.04806,
333.258,0.07387,
333.269,0.03356,
333.271,0.0272,
333.52,0.08802,
333.66,0.06044,
334.314,0.09721,
334.976,0.10252,
336.037,0.10676,
337.365,0.10146,
337.633,0.09439,
338.564,0.08343,
339.097,0.07565,
340.427,0.06717,
340.693,0.06399,
340.96,0.05798,
341.359,0.05515,
342.289,0.04984,
343.087,0.0456,
344.548,0.03995,
345.611,0.03641,
347.072,0.03288,
348.533,0.02864,
349.993,0.02652,
352.249,0.02511,
354.241,0.02335,
356.497,0.02158,
359.417,0.02053,
363.133,0.01983,
366.85,0.01948,
371.229,0.01949,
374.812,0.02091,
378.661,0.02056,
383.041,0.01986,
388.746,0.0227,
391.932,0.022,
394.586,0.02271,
397.771,0.02378,
400.159,0.02413,
403.079,0.02626,
405.732,0.02803,
409.581,0.02839,
414.756,0.03017,
417.543,0.03018,
421.126,0.0323,
424.709,0.03408,
428.16,0.03338,
432.539,0.03515,
435.326,0.03551,
438.112,0.03693,
441.43,0.03658,
444.084,0.038,
449.127,0.03943,
451.781,0.04049,
455.762,0.04014,
457.62,0.04156,
460.407,0.04263,
463.592,0.04334,
466.511,0.04335,
470.625,0.04654,
473.677,0.04866,
476.862,0.04902,
480.975,0.0508,
482.7,0.05151,
486.018,0.05399,
